StockName,StockPrice
TW,53
TW,15
TW,57
TW,71
TW,86
TW,83
TW,53
TW,56
TW,15
TW,78
TW,28
TW,24
TW,65
TW,89
TW,80
TW,82
TW,91
TW,24
TW,22
TW,8
TW,100
TW,30
TW,29
TW,1
TW,87
TW,13
TW,40
TW,59
TW,2
TW,2
TW,83
TW,82
TW,29
TW,91
TW,1
TW,68
TW,99
TW,29
TW,88
TW,67
TW,68
TW,69
TW,37
TW,36
TW,68
TW,31
TW,2
TW,99
TW,20
TW,18
TW,3
TW,7
TW,77
TW,48
TW,82
TW,45
TW,17
TW,71
TW,28
TW,89
TW,41
TW,3
TW,31
TW,8
TW,68
TW,12
TW,74
TW,89
TW,12
TW,83
TW,63
TW,98
TW,51
TW,82
TW,38
TW,11
TW,81
TW,38
TW,85
TW,15
TW,15
TW,58
TW,39
TW,61
TW,16
TW,83
TW,12
TW,27
TW,26
TW,74
TW,7
TW,18
TW,77
TW,41
TW,33
TW,84
TW,94
TW,22
TW,49
TW,49
